Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,subject_registration,,text,Study Record ID,,,,,,,,y,,,,,@READONLY
study_id,subject_registration,,text,Study Subject ID,,Format: IMM201-###,,,,,,y,,,,,
site_code,subject_registration,,dropdown,Study Site,"1, Toronto Cancer Centre | 2, Hamilton Oncology Centre | 3, Ottawa Cancer Institute",,,,,,,y,,,,,
screening_date,subject_registration,,text,Screening Date,,,date_ymd,,,,,y,,,,,
screening_status,subject_registration,,radio,Screening Status,"1, In Screening | 2, Screen Failure | 3, Eligible | 4, Randomized",,,,,,,y,,,,,
registration_comments,subject_registration,,notes,Registration Comments,,,,,,,,,,,,,
consent_date,informed_consent,,text,Informed Consent Date,,,date_ymd,,,,,y,,,,,
consent_version,informed_consent,,text,Consent Form Version,,,,,,,,y,,,,,
consent_obtained,informed_consent,,radio,Written informed consent obtained?,"1, Yes | 0, No",,,,,,,y,,,,,
consent_before_procedures,informed_consent,,radio,Consent obtained before study-specific procedures?,"1, Yes | 0, No",,,,,,,y,,,,,
consent_person,informed_consent,,text,Person obtaining consent,,,,,,,,y,,,,,
reconsent_required,informed_consent,,radio,Re-consent required?,"1, Yes | 0, No",,,,,,,y,,,,,
reconsent_date,informed_consent,,text,Re-consent Date,,,date_ymd,,,,[reconsent_required]='1',,,,,,
consent_comments,informed_consent,,notes,Consent Comments,,,,,,,,,,,,,
dob,demographics,,text,Date of Birth,,,date_ymd,,,y,,y,,,,,
age,demographics,,text,Age at Screening (years),,,integer,18,120,,,y,,,,,
sex_birth,demographics,,radio,Sex at Birth,"1, Male | 2, Female | 3, Intersex | 9, Not Reported",,,,,,,y,,,,,
race,demographics,,dropdown,Race,"1, White | 2, Black or African American | 3, Asian | 4, Indigenous | 5, Native Hawaiian or Other Pacific Islander | 6, Multiple | 7, Other | 9, Not Reported",,,,,,,,,,,,
ethnicity,demographics,,radio,Ethnicity,"1, Hispanic or Latino | 2, Not Hispanic or Latino | 9, Not Reported",,,,,,,,,,,,
